,MAE,RMSE,Model,Dataset,Type
0,3.4793267286653564,4.19960457260272,Elastic Net,Alcohol,Idiographic
1,16.71060148405697,20.394294809977133,Elastic Net,Alcohol,Idiographic
2,15.73098672182952,19.551551438721408,Elastic Net,Alcohol,Idiographic
3,5.205934565189753,10.15236239805508,Elastic Net,Alcohol,Idiographic
4,9.624731387947666,11.705399134523416,Elastic Net,Alcohol,Idiographic
5,11.7888837346365,14.989336423078926,Elastic Net,Alcohol,Idiographic
6,16.074708409045712,22.043060895070315,Elastic Net,Alcohol,Idiographic
7,8.964521435181565,11.915391046968054,Elastic Net,Alcohol,Idiographic
8,10.593608207034793,12.752744613710211,Elastic Net,Alcohol,Idiographic
9,3.745404718498205,5.135251830194613,Elastic Net,Alcohol,Idiographic
10,29.70202255984962,36.672494465634806,Elastic Net,Alcohol,Idiographic
11,5.655924357182602,7.893491850146458,Elastic Net,Alcohol,Idiographic
12,2.217159875390547,2.6903716640746818,Elastic Net,Alcohol,Idiographic
13,12.867957999513196,17.693890563136264,Elastic Net,Alcohol,Idiographic
14,17.3077263660322,29.29415247767157,Elastic Net,Alcohol,Idiographic
15,19.54006337709371,24.10693695256509,Elastic Net,Alcohol,Idiographic
16,7.7911541719451956,9.331369239738889,Elastic Net,Alcohol,Idiographic
17,2.8019743958238545,5.352252575734681,Elastic Net,Alcohol,Idiographic
18,9.43099436118528,12.260303323353783,Elastic Net,Alcohol,Idiographic
19,6.727481353558717,8.705767326654055,Elastic Net,Alcohol,Idiographic
20,8.985140958363324,13.073732586266848,Elastic Net,Alcohol,Idiographic
21,12.841632080231015,19.56321892486381,Elastic Net,Alcohol,Idiographic
22,6.358702929487779,10.056581599463565,Elastic Net,Alcohol,Idiographic
23,19.024853335267323,22.791133682970894,Elastic Net,Alcohol,Idiographic
24,1.1382196386803267,3.576121870338897,Elastic Net,Alcohol,Idiographic
25,15.801399715901336,21.909187731290697,Elastic Net,Alcohol,Idiographic
26,8.58156784897256,13.066890092186387,Elastic Net,Alcohol,Idiographic
27,18.90161628020829,22.72128809310839,Elastic Net,Alcohol,Idiographic
28,2.996928536918269,3.9997535686648966,SVM,Alcohol,Idiographic
29,16.08838131742944,20.0192618916682,SVM,Alcohol,Idiographic
30,15.829400907532165,19.86596068774797,SVM,Alcohol,Idiographic
31,5.210516782176428,10.05770625229332,SVM,Alcohol,Idiographic
32,9.441753859921173,11.508264370765254,SVM,Alcohol,Idiographic
33,11.887089360861967,15.259947862361749,SVM,Alcohol,Idiographic
34,14.392481907293714,21.867238500012768,SVM,Alcohol,Idiographic
35,8.530239426211349,11.630021761104928,SVM,Alcohol,Idiographic
36,10.88859843083113,12.820501591308082,SVM,Alcohol,Idiographic
37,3.74666625665217,4.8659945804789215,SVM,Alcohol,Idiographic
38,28.19895167312417,34.923270260482646,SVM,Alcohol,Idiographic
39,5.721277650303204,8.173209904886228,SVM,Alcohol,Idiographic
40,2.1711870742329187,2.6330566315221966,SVM,Alcohol,Idiographic
41,14.86118744866871,20.279825234527603,SVM,Alcohol,Idiographic
