,MAE,RMSE,Model,Dataset,Type
196,0.5511676547585781,0.608898476822421,Elastic Net,COVID-19,Idiographic
197,0.4467238385471785,0.7364915619546221,Elastic Net,COVID-19,Idiographic
198,0.3178151208419097,0.4056027458796875,Elastic Net,COVID-19,Idiographic
199,0.568654481625412,0.7397825092640566,Elastic Net,COVID-19,Idiographic
200,0.5384615384615384,0.7337993857053428,Elastic Net,COVID-19,Idiographic
201,0.3813952000314891,0.5123368164635744,Elastic Net,COVID-19,Idiographic
202,0.537640038277811,0.6901756788118233,Elastic Net,COVID-19,Idiographic
203,0.3518518518518518,0.512543869546584,Elastic Net,COVID-19,Idiographic
204,0.6533179265936709,1.476464132099976,Elastic Net,COVID-19,Idiographic
205,0.1793200240534186,0.2638625325664214,Elastic Net,COVID-19,Idiographic
206,0.4473967750362269,0.6554580717610686,Elastic Net,COVID-19,Idiographic
207,0.5543126757088628,0.6918981690586705,Elastic Net,COVID-19,Idiographic
208,0.9686519466017643,1.2368224984018474,Elastic Net,COVID-19,Idiographic
209,0.8609672434729656,0.9528637293160928,Elastic Net,COVID-19,Idiographic
210,0.6670455388148597,0.8931507067223562,Elastic Net,COVID-19,Idiographic
211,0.677668010645058,0.7309793925038105,Elastic Net,COVID-19,Idiographic
212,0.5353013309184925,0.5825622174250186,Elastic Net,COVID-19,Idiographic
213,0.6584865726742839,0.7317762930131871,Elastic Net,COVID-19,Idiographic
214,0.5083120613873385,0.6818960524883279,Elastic Net,COVID-19,Idiographic
215,0.4285714285714285,0.4738035414793429,Elastic Net,COVID-19,Idiographic
216,0.75,0.8762606047645171,Elastic Net,COVID-19,Idiographic
217,0.3090909090909091,0.3861229196653691,Elastic Net,COVID-19,Idiographic
218,0.5262068659447429,0.6838358156070347,Elastic Net,COVID-19,Idiographic
219,0.4542522021528635,0.5488868727986321,Elastic Net,COVID-19,Idiographic
220,0.6818141823276772,0.9598344841158736,Elastic Net,COVID-19,Idiographic
221,0.2307692307692307,0.4803844614152614,Elastic Net,COVID-19,Idiographic
222,0.5683882839459905,0.6711424527635648,Elastic Net,COVID-19,Idiographic
223,0.3609432291690427,0.4063263357983205,Elastic Net,COVID-19,Idiographic
224,0.7039242648164244,0.838437898477491,Elastic Net,COVID-19,Idiographic
225,0.9254523027991004,1.1272489852928684,Elastic Net,COVID-19,Idiographic
226,0.5952380952380952,0.7536757995878293,Elastic Net,COVID-19,Idiographic
227,0.7321428571428571,0.8667615071079713,Elastic Net,COVID-19,Idiographic
228,0.4578933106313437,0.5182800530190689,Elastic Net,COVID-19,Idiographic
229,0.6136363636363636,0.75,Elastic Net,COVID-19,Idiographic
230,0.1677754045165566,0.3506902254027891,Elastic Net,COVID-19,Idiographic
231,0.4573294593015299,0.6172684172243427,Elastic Net,COVID-19,Idiographic
232,0.4304347826086957,0.5511630596624596,Elastic Net,COVID-19,Idiographic
233,0.5799044344407109,0.6500625436806602,Elastic Net,COVID-19,Idiographic
234,0.2648162376822012,0.4159996903115184,Elastic Net,COVID-19,Idiographic
235,0.7788575567165652,1.0343012329297012,Elastic Net,COVID-19,Idiographic
236,0.3288860381120767,0.4237208270544581,Elastic Net,COVID-19,Idiographic
237,0.7470083025835033,0.9602360841176144,Elastic Net,COVID-19,Idiographic
238,0.5833333333333334,0.6591656196502846,Elastic Net,COVID-19,Idiographic
239,0.4175824175824176,0.5432618502992649,Elastic Net,COVID-19,Idiographic
240,0.4836822326078243,0.5232148162849671,Elastic Net,COVID-19,Idiographic
241,0.5545218971803612,0.6113411146923912,Elastic Net,COVID-19,Idiographic
242,0.8721776495218743,1.1309507932525018,Elastic Net,COVID-19,Idiographic
243,0.3994811605487414,0.5042913769105865,Elastic Net,COVID-19,Idiographic
244,0.6820987654320988,0.7793194597222523,Elastic Net,COVID-19,Idiographic
245,0.4213163285093809,0.6260840398980247,Elastic Net,COVID-19,Idiographic
246,0.3846153846153846,0.4334395257532556,Elastic Net,COVID-19,Idiographic
247,0.3767311106448673,0.4826424592462515,Elastic Net,COVID-19,Idiographic
248,0.5336434249385459,0.6799550949961543,Elastic Net,COVID-19,Idiographic
249,0.6227419392932169,0.7244566648348107,Elastic Net,COVID-19,Idiographic
250,0.5157496817059581,0.6157324293794,Elastic Net,COVID-19,Idiographic
251,0.5743375615611575,0.6543710740430702,SVM,COVID-19,Idiographic
252,0.5251758245615755,0.7836342970492849,SVM,COVID-19,Idiographic
253,0.771216188914841,1.0203523728476074,SVM,COVID-19,Idiographic
254,0.5733770769444082,0.7517275173100189,SVM,COVID-19,Idiographic
255,0.6210185373531658,0.6711604164324745,SVM,COVID-19,Idiographic
256,0.8584944955645422,1.128126574982965,SVM,COVID-19,Idiographic
257,1.0002805978824918,1.3377892049234523,SVM,COVID-19,Idiographic
258,0.5861326819565262,0.7055133242217344,SVM,COVID-19,Idiographic
259,0.6166176380989351,1.1650387902066517,SVM,COVID-19,Idiographic
260,0.4378685124640808,0.6583134526963053,SVM,COVID-19,Idiographic
261,0.7137633149059569,0.8829427278874362,SVM,COVID-19,Idiographic
262,0.5760507564600224,0.7762168547722599,SVM,COVID-19,Idiographic
263,1.1526902840447777,1.4348007136836876,SVM,COVID-19,Idiographic
264,1.527753479294595,1.8137128448494555,SVM,COVID-19,Idiographic
265,0.728683293512088,1.0123947531973676,SVM,COVID-19,Idiographic
266,0.7316408520682104,0.8723511814108703,SVM,COVID-19,Idiographic
267,0.5348268414696821,0.6579700287678832,SVM,COVID-19,Idiographic
268,0.7558260521493233,0.8984201726133202,SVM,COVID-19,Idiographic
269,0.4310773873714637,0.7733872789501525,SVM,COVID-19,Idiographic
270,0.2833125282589144,0.5051618606475328,SVM,COVID-19,Idiographic
271,1.0575303790589472,1.2248578946225093,SVM,COVID-19,Idiographic
272,0.1825288694613936,0.4261163907758198,SVM,COVID-19,Idiographic
273,0.7720296936954111,0.99770380292846,SVM,COVID-19,Idiographic
274,0.3907771762778024,0.5928977694194136,SVM,COVID-19,Idiographic
275,0.8995560653691758,1.0833504859727263,SVM,COVID-19,Idiographic
276,0.2308857295990274,0.4803661108114886,SVM,COVID-19,Idiographic
277,0.7628352205556417,0.9211093132338258,SVM,COVID-19,Idiographic
278,0.3705993190642214,0.4497744964543646,SVM,COVID-19,Idiographic
279,0.8131281312405302,0.9540169283649316,SVM,COVID-19,Idiographic
280,1.4556744113961422,1.7067496160428834,SVM,COVID-19,Idiographic
281,1.0589109409404345,1.1805537098761238,SVM,COVID-19,Idiographic
282,0.5886516377186691,1.0394283347677689,SVM,COVID-19,Idiographic
283,0.7621563515672124,0.9052285104449714,SVM,COVID-19,Idiographic
284,0.7100968640555956,0.8741219243659165,SVM,COVID-19,Idiographic
285,0.4222348222241192,0.5326634675968389,SVM,COVID-19,Idiographic
286,0.6545291234262957,0.7515054517173158,SVM,COVID-19,Idiographic
287,0.6610891162808145,0.7875371483693739,SVM,COVID-19,Idiographic
288,0.5760408768330484,0.6679253678016372,SVM,COVID-19,Idiographic
289,0.3203565657929257,0.4259486079445894,SVM,COVID-19,Idiographic
290,0.880395013937242,1.1550964866998226,SVM,COVID-19,Idiographic
291,0.5932170539297797,0.7142234549570149,SVM,COVID-19,Idiographic
292,0.7516964091698073,0.999298047881193,SVM,COVID-19,Idiographic
293,0.4905789901053545,0.6018905856363685,SVM,COVID-19,Idiographic
294,0.8562976469448234,1.0551662508196828,SVM,COVID-19,Idiographic
295,0.7159501331997209,0.8388748617279453,SVM,COVID-19,Idiographic
296,0.615319764546214,0.6914219560256233,SVM,COVID-19,Idiographic
297,0.7518855342346203,0.8628005597539411,SVM,COVID-19,Idiographic
298,0.1541218259668629,0.3922388455802007,SVM,COVID-19,Idiographic
299,1.117800720918792,1.2156218631051268,SVM,COVID-19,Idiographic
300,0.5976320031008968,0.6831837955166719,SVM,COVID-19,Idiographic
301,0.3039661987080624,0.5089298852765164,SVM,COVID-19,Idiographic
302,0.4827824860869772,0.6624620700991223,SVM,COVID-19,Idiographic
303,0.4940672500829219,0.6781036587131173,SVM,COVID-19,Idiographic
304,0.740376898206355,0.9035916216612816,SVM,COVID-19,Idiographic
305,0.7880160316387368,0.9291678767508408,SVM,COVID-19,Idiographic
306,0.585869719584783,0.672492692334087,XGBoost,COVID-19,Idiographic
307,0.3114307035099376,0.6545007011066817,XGBoost,COVID-19,Idiographic
308,0.2885742286841075,0.4205263463781546,XGBoost,COVID-19,Idiographic
309,0.5687418580055237,0.763235983856644,XGBoost,COVID-19,Idiographic
310,0.5680062404045692,0.7120478160556913,XGBoost,COVID-19,Idiographic
311,0.2788405310023915,0.3999702983335912,XGBoost,COVID-19,Idiographic
312,0.5271483613894536,0.8269561228499117,XGBoost,COVID-19,Idiographic
