,MAE,RMSE,Model,Dataset
0,4.275564962988889,5.40987529813342,Elastic Net,Alcohol
1,19.98264020098459,25.121644850620463,Elastic Net,Alcohol
2,11.27480889087989,14.611059622030709,Elastic Net,Alcohol
3,4.938017286921729,6.270364714234096,Elastic Net,Alcohol
4,12.360308379176406,14.635150104052043,Elastic Net,Alcohol
5,12.741443365213362,15.778687070350802,Elastic Net,Alcohol
6,15.739857218469519,23.64731456734435,Elastic Net,Alcohol
7,11.471429259427357,19.748055458781305,Elastic Net,Alcohol
8,11.894314260851369,14.67190679216407,Elastic Net,Alcohol
9,6.491924464907625,8.518823491701637,Elastic Net,Alcohol
10,20.136326414377113,25.710926187581958,Elastic Net,Alcohol
11,6.022717761457693,7.571803715167403,Elastic Net,Alcohol
12,2.2050866383682517,2.3938609183610398,Elastic Net,Alcohol
13,11.839285714285714,11.94892404002493,Elastic Net,Alcohol
14,23.992559523809522,42.94932175186912,Elastic Net,Alcohol
15,19.071428571428573,22.588713996153036,Elastic Net,Alcohol
16,5.580983606557377,6.921421747807205,Elastic Net,Alcohol
17,9.738596491228071,12.068155897919434,Elastic Net,Alcohol
18,14.620276171191218,20.06796961932228,Elastic Net,Alcohol
19,5.965763966830165,7.156058901184884,Elastic Net,Alcohol
20,9.44340095364296,11.866039090488794,Elastic Net,Alcohol
21,21.660482568677942,26.77321264166579,Elastic Net,Alcohol
22,5.172413793103448,5.172413793103448,Elastic Net,Alcohol
23,14.843320548579602,18.17989441783325,Elastic Net,Alcohol
24,2.2602388854030746,7.2321367344221565,Elastic Net,Alcohol
25,12.217138677897784,15.642677959803752,Elastic Net,Alcohol
26,9.79542914066684,12.90010017392444,Elastic Net,Alcohol
27,13.906580114815632,19.583829997259944,Elastic Net,Alcohol
28,4.258040613081981,5.322741836448344,SVM,Alcohol
29,18.79847651158498,23.710883073286727,SVM,Alcohol
30,12.378688945091652,15.123900599589728,SVM,Alcohol
31,4.90247362048925,6.373599569891386,SVM,Alcohol
32,10.964676141389734,13.595579876389092,SVM,Alcohol
33,10.923924310280853,13.389987492269821,SVM,Alcohol
34,17.18671747039639,23.66535975093746,SVM,Alcohol
35,10.952038616587545,18.745419235310816,SVM,Alcohol
36,12.505419368424944,15.578780907234325,SVM,Alcohol
37,7.112452956188171,8.800496385170305,SVM,Alcohol
38,18.644175980584926,24.69722208285261,SVM,Alcohol
39,6.370532768844421,8.338583566885443,SVM,Alcohol
40,1.8354106918910198,2.195742595290212,SVM,Alcohol
41,8.532285520765617,9.01818792796022,SVM,Alcohol
42,25.186864281008962,42.270603186532405,SVM,Alcohol
43,17.753831211394488,21.623117573427773,SVM,Alcohol
44,4.675346562966987,5.517801547027716,SVM,Alcohol
45,6.080683210260375,9.716205171008363,SVM,Alcohol
46,14.072609854838602,19.494635580022553,SVM,Alcohol
47,6.077066518813558,7.102327048578578,SVM,Alcohol
48,8.182857581108806,10.872969299026435,SVM,Alcohol
49,22.786070646201562,27.750529473646427,SVM,Alcohol
50,3.7650375173321815,4.006331849354172,SVM,Alcohol
51,10.124700684251003,12.900267755685226,SVM,Alcohol
52,2.7232462677419362,7.384396380230581,SVM,Alcohol
53,10.288662311308709,14.26789085102889,SVM,Alcohol
54,9.76710779585077,13.340843727579815,SVM,Alcohol
55,14.167694567268484,20.02907233174138,SVM,Alcohol
56,3.957234480582428,5.330674099621945,XGBoost,Alcohol
57,23.659265282145533,28.594755713418728,XGBoost,Alcohol
58,12.4955318724528,16.363756009213013,XGBoost,Alcohol
59,4.070888964313931,5.441139252176315,XGBoost,Alcohol
60,14.016887620562235,15.254947482061626,XGBoost,Alcohol
61,8.925080639259338,12.021893494810278,XGBoost,Alcohol
62,19.777087711752063,30.430845648415215,XGBoost,Alcohol
63,11.027473452071815,17.53274943690428,XGBoost,Alcohol
64,12.595899641640981,14.19140150497338,XGBoost,Alcohol
65,1.8850722356493124,2.359963729674434,XGBoost,Alcohol
66,21.14393601803137,24.930383985194776,XGBoost,Alcohol
67,6.570498091951479,8.141310010960078,XGBoost,Alcohol
68,2.5686730052280438,3.1854072782732152,XGBoost,Alcohol
69,9.828737586140821,10.198591953678289,XGBoost,Alcohol
70,24.457484955461123,42.2582638194105,XGBoost,Alcohol
71,18.250233580384933,21.377344205533625,XGBoost,Alcohol
72,5.642360672346496,6.433106053813857,XGBoost,Alcohol
73,9.705786171294921,12.695616393561062,XGBoost,Alcohol
74,15.224049624794693,19.563549872549245,XGBoost,Alcohol
75,6.80156761585269,7.935763377146632,XGBoost,Alcohol
76,7.243691411120587,10.766821837590227,XGBoost,Alcohol
77,19.28526698544563,24.571224106867056,XGBoost,Alcohol
78,17.3148077691172,22.67201396457555,XGBoost,Alcohol
79,14.403386366994757,18.487448870608162,XGBoost,Alcohol
80,2.6907655568048052,7.259322723893511,XGBoost,Alcohol
